,ArticleId,timestamp,title,location_main,Phrase,Score
116,117,20160502_1301,12 mensen opgepakt bij rellen na afloop van Willem II-Feyenoord in Tilburg,112 Nieuws,stadion,0.141441355635
117,118,20160502_1301,Fred van der Hoorn weg als technisch manager FC Den Bosch,FC Den Bosch,hoorn,0.312658316589
118,119,20160502_1301,Koningin Máxima opent inzamelingsactie Klassiek Geeft op basisschool in Den Bosch,'s-Hertogenbosch,radio,0.219901355648
119,120,20160502_1634,Vught en Den Bosch betalen meer voor N65,'s-Hertogenbosch,miljoen,0.239924464985
120,121,20160502_1634,12 mensen opgepakt bij rellen na afloop van Willem II-Feyenoord in Tilburg,112 Nieuws,stadion,0.141441355635
121,122,20160502_1634,Nog geen advocaat voor Aydin C. uit Tilburg; rechtszaak uitgesteld,Tilburg,malewicz,0.233074371543
122,123,20160503_0919,"Automobilist die appt, ontloopt straf vrijwel altijd",Binnenland,bellen,0.184608524913
123,124,20160503_0919,Efteling viert 50 jaar De Indische Waterlelies,Loon op Zand,attractie,0.200051910304
124,125,20160503_0919,Bestuurder bestelbus komt met schrik bij crash in Rheastraat Tilburg,112 Nieuws,geparkeerde vrachtwagen,0.165149445449
125,126,20160503_1315,Oud-speler François Gesthuizen nieuwe hoofdtrainer FC Oss,FC Oss,gesthuizen,0.185133737989
126,127,20160503_1315,Slapende student gered uit brandende woning Tilburg,112 Nieuws,brand,0.168712627888
127,128,20160503_1315,Verdachte aanslag varkensboer Boekel blijft in de cel,Boekel,varkensboer,0.23714668486
128,129,20160503_1656,Twee doden en een gewonde bij val uit hoogwerker in Zaltbommel,112 Nieuws,ongeluk,0.176697356751
129,130,20160503_1656,Museumprijs 2016 voor Nationaal Monument Kamp Vught,Vught,kamp,0.237806589239
130,131,20160503_1656,Nieuwe aanpak bij kamergewijze verhuur aan statushouders Oss,Oss,kamergewijze,0.207385807069
131,132,20160504_0915,Olifant Punda in Beekse Bergen na lang wachten bevallen,Hilvarenbeek,olifant,0.193393363476
132,133,20160504_0915,Politie vindt dode man in woning Mgr Swinkelsstraat Helmond,Brabant,helmond,0.258056564409
133,134,20160504_0915,Twee doden en een gewonde bij val uit hoogwerker in Zaltbommel,112 Nieuws,ongeluk,0.146741395982
134,135,20160504_1405,Pasgeboren olifantje in Beekse Bergen heet Madiba (video),Hilvarenbeek,naam,0.2242376964
135,136,20160504_1405,Bouwvakker raakt zwaargewond bij omvallen muur in Rosmalen,112 Nieuws,bouwplaats,0.139325578911
136,137,20160504_1405,Hennepkwekerij aan Spoorlaan Tilburg gevonden; 9 aanhoudingen,112 Nieuws,kwekerij,0.144749542794
137,138,20160504_1706,Hennepkwekerij aan Spoorlaan Tilburg gevonden; 9 aanhoudingen,112 Nieuws,kwekerij,0.155177080776
138,139,20160504_1706,Circus Herman Renz klaar voor de uitverkoop ,Uden,uden,0.164531787709
139,140,20160504_1706,Reclamedoek op plaats tragisch ongeval Zaltbommel verwijderd,Zaltbommel,wijnen,0.262995047015
140,141,20160505_0930,Meer dan 280.000 Brabanders maakten mogelijk de bevrijding mee,Brabant,bevrijding,0.202640198246
141,142,20160505_0930,50 vaten met drugsafval gevonden in Waardenburg,112 Nieuws,vaten,0.305712993898
142,143,20160505_0930,Hennepkwekerij aan Spoorlaan Tilburg gevonden; 9 aanhoudingen,112 Nieuws,kwekerij,0.155177080776
143,144,20160505_1234,Meer dan 280.000 Brabanders maakten mogelijk de bevrijding mee,Brabant,71,0.212303766225
144,145,20160505_1234,50 vaten met drugsafval gevonden in Waardenburg,112 Nieuws,vaten,0.305712993898
145,146,20160505_1234,Brabant huisvest meer dan 8000 asielzoekers op 14 locaties,Brabant,asielzoekers,0.197594582927
146,147,20160505_2123,Spectaculair aangehouden trio Breda verdacht van betrokkenheid bij liquidatie Dordrecht (video),Brabant,dordrecht,0.236017428405
147,148,20160505_2123,Kovacs draagt vrijheid met verve uit op Brabantse Bevrijdingsfestival Den Bosch,'s-Hertogenbosch,bevrijdingsfestival,0.165741035154
148,149,20160505_2123,Deleuil laat in Reeshof ravange achter,Tilburg,deleuil,0.166385104958
149,150,20160506_0858,Brand in loods aan Zandzuigerstraat in Den Bosch onder controle,112 Nieuws,brand,0.184741735434
150,151,20160506_0858,Van der Valk betuigt medeleven aan nabestaanden na tragisch ongeval Zaltbommel,Zaltbommel,wijnen,0.144711007163
151,152,20160506_0858,'Massale vechtpartij' in opvang voor jonge asielzoekers in Goirle,112 Nieuws,vechtpartij,0.279564049812
152,153,20160506_1329,Brand in loods aan Zandzuigerstraat in Den Bosch onder controle,112 Nieuws,brand,0.279993921312
153,154,20160506_1329,Kozakken Boys krijgt punten terug en doet weer mee om titel,Sport,punten,0.230700698362
154,155,20160506_1329,Eerste échte zomerdag: kwik loopt op tot 25 graden,Brabant,graden,0.116204705266
155,156,20160507_1114,Nederland zaterdag warmste land van Europa,Binnenland,temperaturen,0.178107215762
156,157,20160507_1114,Inbrekers trappen verschillende deuren in bij Fontys vestiging Tilburg,Tilburg,bleek inbrekers,0.124135106026
157,158,20160507_1114,Museum 39 uur open tijdens laatste weekend Jheronimus Bosch,Binnenland,museum,0.139022804951
158,159,20160507_1337,Verdachte zware mishandeling Eikenboomgaard Oss meldt zich,112 Nieuws,eikenboomgaard,0.118440443276
159,160,20160507_1337,Nederland zaterdag warmste land van Europa,Binnenland,graden,0.235483702287
160,161,20160507_1337,"LIVE: Tjallingii springt weg uit peloton, Kittel jaagt op bonificatieseconden",Sport,start,0.206462695882
161,162,20160507_1520,Zeventiende landstitel voor HC Den Bosch,Sport,amsterdam,0.16410324742
162,163,20160507_1520,Geen intercity's tussen Den Bosch en Utrecht door seinstoring,112 Nieuws,30 60,0.12778164354
163,164,20160507_1520,"LIVE: De  voorsprong voor Tjallingii slinkt snel, Kittel jaagt op bonificatieseconden",Sport,start,0.206462695882
164,165,20160508_0739,Aanhoudingen vanwege mishandeling Den Bosch; slachtoffer gevlucht,112 Nieuws,11,0.195246794412
165,166,20160508_0739,Stadscafé verstrekt camerabeelden van ernstige mishandeling Oss,Oss,ontmoeting,0.158263245698
166,167,20160508_0739,Laura van den Elzen uit Gemert eindigt als tweede bij Deutschland sucht den Superstar,Gemert-Bakel,laura,0.290434752697
167,168,20160508_1318,Twaalf aanhoudingen na 'sfeerverziekend gedrag' in Den Bosch,112 Nieuws,politie,0.146629088839
168,169,20160508_1318,"LIVE: Renners onderweg in derde Girorit, Dumoulin verdedigt kleine voorsprong",Sport,etappe,0.199363961444
169,170,20160508_1318,Tilburgse aangehouden voor mogelijke betrokkenheid schietpartij Rotterdam,Tilburg,auto,0.198095740711
170,171,20160508_1541,"LIVE: Ajax op koers voor titel, maar ook PSV leidt",Voetbal,psv,0.153410479408
171,172,20160508_1541,LIVE: Roda JC - Willem II ,Willem II,willem,0.23697728415
172,173,20160508_1541,Twaalf aanhoudingen na 'sfeerverziekend gedrag' in Den Bosch,112 Nieuws,politie,0.146629088839
173,174,20160509_0918,Recordaantal bezoekers voor expositie Jheronimus Bosch in Het Noordbrabants Museum in Den Bosch,'s-Hertogenbosch,tentoonstelling,0.160094767305
174,175,20160509_0918,Minder zwangeren halsoverkop naar ziekenhuis,Binnenland,procent,0.200616271031
175,176,20160509_0918,Ongeluk tussen 4 auto's op A59 bij Sprang-Capelle; file richting Oss,112 Nieuws,0900uur,0.152613324853
176,177,20160509_1504,Geen extra onderzoek naar aanleiding van autobranden Tilburg,Tilburg,autobranden,0.369480315113
177,178,20160509_1504,Den Bosch maakt werk van succes rond Jeroen Bosch,'s-Hertogenbosch,jeroen,0.164327872878
178,179,20160509_1504,Kunstacademie maakt plaats voor nieuwbouw aan Onderwijsboulevard,'s-Hertogenbosch,avans,0.223290893327
179,180,20160510_0934,Honderden te werk gestelde Tilburgers mogelijk blootgesteld aan giftig chroom 6,Tilburg,chroom,0.181964398578
180,181,20160510_0934,Nog te vroeg om iets te zeggen over oorzaak dramatische ongeval met hoogwerker Zaltbommel,Zaltbommel,somerenaar,0.1370256054
181,182,20160510_0934,'Drunen' komt met 30 mogelijke locaties voor opvang vluchtelingen,Heusden,locaties,0.150860348939
182,183,20160511_1129,Broers bisschop Bluyssen: 'Rehabilitatie voor onze Jan','s-Hertogenbosch,bluyssen,0.260184228339
183,184,20160511_1129,Man uit Tilburg: 'Ik kreeg kanker door schuren treinstellen',Tilburg,tilburger,0.134367634926
184,185,20160511_1129,Sporten en muziek maken voorkomt crimineel gedrag bij risicojongeren,'s-Hertogenbosch,kooijmans,0.193630293237
